"";"country";"year";"imports";"exports"
"201";"Estonia";1990;NA;NA
"202";"Ireland";1990;19,5395;21,2413
"203";"Greece";1990;19,53063;11,38592
"204";"Spain";1990;83,629;66,5917
"205";"France";1990;217,0711;209,0231
"206";"Croatia";1990;NA;NA
"207";"Italy";1990;167,9136;169,7632
"208";"Cyprus";1990;3,80318;3,63022
"209";"Latvia";1990;NA;NA
"210";"Lithuania";1990;NA;NA
"211";"Luxembourg";1990;8,8644;10,1912
"212";"Hungary";1990;4,157;4,5463
"213";"Malta";1990;2,51501;2,30492
"214";"Netherlands";1990;123,2138;135,5963
"215";"Austria";1990;46,8734;46,7904
"216";"Poland";1990;6,1836;8,2833
"217";"Portugal";1990;22,98853;17,88957
"218";"Romania";1990;4,72845;3,03714
"219";"Slovenia";1990;NA;NA
"220";"Slovakia";1990;NA;NA
"221";"Finland";1990;26,39534;24,66978
"222";"Sweden";1990;57,1135;58,4584
"223";"United Kingdom";1990;210,2805;194,8834
"224";"Belgium";1991;99,463;102,0142
"225";"Bulgaria";1991;1,04864;1,57706
"226";"Denmark";1991;35,4302;42,4326
"227";"Germany";1991;365,288;357,531
"228";"Estonia";1991;NA;NA
"229";"Ireland";1991;20,4898;22,3928
"230";"Greece";1991;20,75683;12,08284
"231";"Spain";1991;91,5967;73,7264
"232";"France";1991;221,8685;218,4614
"233";"Croatia";1991;NA;NA
"234";"Italy";1991;169,7797;171,7484
"235";"Cyprus";1991;4,04737;3,52797
"236";"Latvia";1991;NA;NA
"237";"Lithuania";1991;NA;NA
"238";"Luxembourg";1991;9,9606;11,3158
"239";"Hungary";1991;5,3934;5,2484
"240";"Malta";1991;2,76356;2,60717
"241";"Netherlands";1991;131,2196;145,1324
"242";"Austria";1991;49,8159;48,6383
"243";"Poland";1991;10,2717;9,55
"244";"Portugal";1991;25,18363;18,42948
"245";"Romania";1991;3,1801;2,61308
"246";"Slovenia";1991;6,66453;7,40522
"247";"Slovakia";1991;NA;NA
"248";"Finland";1991;22,95035;21,96971
"249";"Sweden";1991;55,0514;58,7594
"250";"United Kingdom";1991;205,6765;202,2899
"251";"Belgium";1992;102,2105;106,1804
"252";"Bulgaria";1992;1,39017;1,67767
"253";"Denmark";1992;35,5147;43,6782
"254";"Germany";1992;373,972;365,395
"255";"Estonia";1992;NA;NA
"256";"Ireland";1992;22,0949;25,234
"257";"Greece";1992;21,47353;13,34345
"258";"Spain";1992;95,9844;79,0605
"259";"France";1992;223,3106;230,2931
"260";"Croatia";1992;NA;NA
"261";"Italy";1992;177,7358;178,2091
"262";"Cyprus";1992;4,89934;4,24509
"263";"Latvia";1992;0,79335;0,80262
"264";"Lithuania";1992;0,25987;0,2895
"265";"Luxembourg";1992;10,0667;12,0097
"266";"Hungary";1992;4,9163;4,8838
"267";"Malta";1992;2,92848;2,89177
"268";"Netherlands";1992;135,137;148,8642
"269";"Austria";1992;51,9394;49,9935
"270";"Poland";1992;8,6222;9,2709
"271";"Portugal";1992;27,0669;19,4891
"272";"Romania";1992;3,1552;2,43525
"273";"Slovenia";1992;5,16396;5,73154
"274";"Slovakia";1992;NA;NA
"275";"Finland";1992;21,43912;22,17427
"276";"Sweden";1992;54,1804;57,946
"277";"United Kingdom";1992;208,666;202,318
"278";"Belgium";1993;101,7355;107,2276
"279";"Bulgaria";1993;2,83;3,1996
"280";"Denmark";1993;35,5056;44,7094
"281";"Germany";1993;358,341;359,48
"282";"Estonia";1993;1,04205;0,9827
"283";"Ireland";1993;23,6238;28,1196
"284";"Greece";1993;21,34254;13,0478
"285";"Spain";1993;85,8041;79,523
"286";"France";1993;215,3203;234,0438
"287";"Croatia";1993;NA;NA
"288";"Italy";1993;157,9605;185,6307
